sourceCommit,sourcePath,changeType,globalPath,existsInGlobal,alreadyEquivalent,subject,containsHebrew,containsIsraelSpecificLogic,localeSensitive,dependencyStatus,classification,exactReason,proposedAction,requiredTests
30ebd6ebe5dd03ce45824a858743164a525f0467,components/learning/StudentQuestionDisplay.jsx,M,components/learning/StudentQuestionDisplay.jsx,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,data/english-questions/sentence-pools.js,M,data/english-questions/sentence-pools.js,true,false,english,false,false,false,ok,D_subject_filtered,Touches english engine/taxonomy/classifier; global has subject active,port_filtered_diff_for_subject,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,data/history-questions/g6-generated.js,M,data/history-questions/g6-generated.js,false,false,history,false,false,false,ok,F_israeli_only_skip,Subject history is absent from global learning product,skip,none
30ebd6ebe5dd03ce45824a858743164a525f0467,data/science-questions.js,M,data/science-questions.js,true,false,science,false,false,false,ok,D_subject_filtered,Touches science engine/taxonomy/classifier; global has subject active,port_filtered_diff_for_subject,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-33-TOPIC-COVERAGE-CLOSURE-2026-07-24.md,A,docs/audits/DECISION-ENGINE-33-TOPIC-COVERAGE-CLOSURE-2026-07-24.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-DEEP-AUDIT-2026-07-23.md,A,docs/audits/DECISION-ENGINE-DEEP-AUDIT-2026-07-23.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-P0-IMPLEMENTATION-2026-07-23.md,A,docs/audits/DECISION-ENGINE-P0-IMPLEMENTATION-2026-07-23.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-P1-IMPLEMENTATION-2026-07-23.md,A,docs/audits/DECISION-ENGINE-P1-IMPLEMENTATION-2026-07-23.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-P2-IMPLEMENTATION-2026-07-23.md,A,docs/audits/DECISION-ENGINE-P2-IMPLEMENTATION-2026-07-23.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-P3-IMPLEMENTATION-2026-07-23.md,A,docs/audits/DECISION-ENGINE-P3-IMPLEMENTATION-2026-07-23.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-P3B-COVERAGE-CLOSURE-2026-07-23.md,A,docs/audits/DECISION-ENGINE-P3B-COVERAGE-CLOSURE-2026-07-23.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-P4-PROFESSIONAL-CALIBRATION-2026-07-24.md,A,docs/audits/DECISION-ENGINE-P4-PROFESSIONAL-CALIBRATION-2026-07-24.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,docs/audits/DECISION-ENGINE-PRODUCTION-INTEGRATION-2026-07-24.md,A,docs/audits/DECISION-ENGINE-PRODUCTION-INTEGRATION-2026-07-24.md,false,false,cross-subject,false,false,false,ok,F_israeli_only_skip,Israeli audit artifacts reflecting IL dossiers/labels; regenerate global audits after port,skip_regenerate_global_audits_later,none
30ebd6ebe5dd03ce45824a858743164a525f0467,hooks/useStudentActionDecision.js,A,hooks/useStudentActionDecision.js,false,false,cross-subject,false,false,false,missing_on_global,B_universal_direct,Missing on global HEAD; required for ADC/LPD/factualObservations/evidence closure after 60a0eadd,direct_port_then_wire_global_subjects_only,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning-client/scheduleAdaptivePlannerRecommendation.js,M,lib/learning-client/scheduleAdaptivePlannerRecommendation.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning-client/studentLearningProfileClient.js,M,lib/learning-client/studentLearningProfileClient.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/action-decision-executor.js,A,lib/learning/action-decision-executor.js,false,false,cross-subject,false,false,false,missing_on_global,B_universal_direct,Missing on global HEAD; required for ADC/LPD/factualObservations/evidence closure after 60a0eadd,direct_port_then_wire_global_subjects_only,ADC_unit|ADC_p2|runtime_consumption
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/diagnostic-state-master-helper.js,M,lib/learning/diagnostic-state-master-helper.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/diagnostic-state-persistence.js,M,lib/learning/diagnostic-state-persistence.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/fixtures/taxonomy-real-runtime-fixtures.js,M,lib/learning/fixtures/taxonomy-real-runtime-fixtures.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,subject_classifier|taxonomy_e2e
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/misconception-adaptive-routing.js,M,lib/learning/misconception-adaptive-routing.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/p3b-real-topic-proof-registry.js,A,lib/learning/p3b-real-topic-proof-registry.js,false,false,cross-subject,false,false,false,missing_on_global,G_dependency_or_risk,Path missing on global; may require supporting modules or be Israeli residue,inspect_before_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/p3b-topic-closure-producers.js,A,lib/learning/p3b-topic-closure-producers.js,false,false,cross-subject,false,false,false,missing_on_global,G_dependency_or_risk,Path missing on global; may require supporting modules or be Israeli residue,inspect_before_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/question-metadata-completeness.js,A,lib/learning/question-metadata-completeness.js,false,false,cross-subject,false,false,false,missing_on_global,G_dependency_or_risk,Path missing on global; may require supporting modules or be Israeli residue,inspect_before_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/taxonomy-coverage-matrix.js,A,lib/learning/taxonomy-coverage-matrix.js,false,false,cross-subject,false,false,false,missing_on_global,G_dependency_or_risk,Path missing on global; may require supporting modules or be Israeli residue,inspect_before_port,subject_classifier|taxonomy_e2e
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/taxonomy-rule-primary-producers.js,M,lib/learning/taxonomy-rule-primary-producers.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,subject_classifier|taxonomy_e2e
30ebd6ebe5dd03ce45824a858743164a525f0467,lib/learning/taxonomy-tag-producer-registry.js,M,lib/learning/taxonomy-tag-producer-registry.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Core decision/evidence engine logic independent of locale/subject content,port_diff_carefully,subject_classifier|taxonomy_e2e
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/api/learning/planner-recommendation.js,M,pages/api/learning/planner-recommendation.js,true,false,cross-subject,false,false,false,ok,B_universal_direct,Default: treat as engine/report infrastructure after filters,review_diff_then_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/api/student/action-decisions.js,A,pages/api/student/action-decisions.js,false,false,cross-subject,false,false,false,missing_on_global,B_universal_direct,Core decision/evidence engine logic independent of locale/subject content,add_module_from_source,ADC_unit|ADC_p2|runtime_consumption
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/english-master.js,M,pages/learning/english-master.js,true,false,english,false,false,false,ok,D_subject_filtered,Touches english engine/taxonomy/classifier; global has subject active,port_filtered_diff_for_subject,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/geometry-master.js,M,pages/learning/geometry-master.js,true,false,geometry,false,false,false,ok,D_subject_filtered,Touches geometry engine/taxonomy/classifier; global has subject active,port_filtered_diff_for_subject,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/hebrew-master.js,M,pages/learning/hebrew-master.js,false,false,hebrew,true,false,false,israeli_master_absent,F_israeli_only_skip,Subject hebrew is absent from global learning product,skip,none
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/history-master.js,M,pages/learning/history-master.js,false,false,history,false,false,false,israeli_master_absent,F_israeli_only_skip,Subject history is absent from global learning product,skip,none
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/math-master.js,M,pages/learning/math-master.js,true,false,math,false,false,false,ok,D_subject_filtered,Touches math engine/taxonomy/classifier; global has subject active,port_filtered_diff_for_subject,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/moledet-geography-master.js,M,pages/learning/moledet-geography-master.js,false,false,moledet-geography,false,true,false,israeli_master_absent,F_israeli_only_skip,Subject moledet-geography is absent from global learning product,skip,none
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/parent-report-detailed.js,M,pages/learning/parent-report-detailed.js,true,false,cross-subject,false,false,false,ok,C_universal_with_locale_adaptation,Report/Demo/LPD surface logic is universal but copy/chrome must be English/LTR via global i18n,port_structure_map_copy_to_en_packs,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/parent-report-detailed.renderable.jsx,M,pages/learning/parent-report-detailed.renderable.jsx,true,false,cross-subject,false,false,false,ok,C_universal_with_locale_adaptation,Report/Demo/LPD surface logic is universal but copy/chrome must be English/LTR via global i18n,port_structure_map_copy_to_en_packs,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/parent-report.js,M,pages/learning/parent-report.js,true,false,cross-subject,false,false,false,ok,C_universal_with_locale_adaptation,Report/Demo/LPD surface logic is universal but copy/chrome must be English/LTR via global i18n,port_structure_map_copy_to_en_packs,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,pages/learning/science-master.js,M,pages/learning/science-master.js,true,false,science,false,false,false,ok,D_subject_filtered,Touches science engine/taxonomy/classifier; global has subject active,port_filtered_diff_for_subject,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,scripts/decision-engine-33-topic-coverage-closure.mjs,A,scripts/decision-engine-33-topic-coverage-closure.mjs,false,false,cross-subject,false,false,false,missing_on_global,G_dependency_or_risk,Path missing on global; may require supporting modules or be Israeli residue,inspect_before_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,scripts/decision-engine-p3-coverage-audit.mjs,A,scripts/decision-engine-p3-coverage-audit.mjs,false,false,cross-subject,false,false,false,missing_on_global,G_dependency_or_risk,Path missing on global; may require supporting modules or be Israeli residue,inspect_before_port,smoke_lpd_edc
30ebd6ebe5dd03ce45824a858743164a525f0467,scripts/decision-engine-p3b-coverage-audit.mjs,A,scripts/decision-engine-p3b-coverage-audit.mjs,false,false,cross-subject,false,false,false,missing_on_global,G_dependency_or_risk,Path missing on global; may require supporting modules or be Israeli residue,inspect_before_port,smoke_lpd_edc
