key,subject,producerProof,taxonomyId,existingEnglishLabel,proposedFactualEnglishLabel,aliasKeys,safeFactualWording,requiresRewrite,canAppearWithCount,canAppearBesideMastery,status
omitted_addend,math,REAL_RUNTIME_classifier,,,Only two addends were used out of three,,false,true,true,true,proposed_factual_seed
add_instead_of_sub,math,REAL_RUNTIME_classifier,,,Addition was used instead of subtraction,,false,true,true,true,proposed_factual_seed
mul_instead_of_add,math,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
sub_instead_of_add,math,REAL_RUNTIME_classifier,,,Subtraction was used instead of addition,,false,true,true,true,proposed_factual_seed
add_instead_of_mul,math,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
mul_instead_of_div,math,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_decimal_place_shift_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_percentage_base_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_equation_inverse_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
rounding_wrong_direction,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
wrong_operation_wp,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
unit_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
place_value_error,math,REAL_RUNTIME_classifier,,there may be some confusion with the place value of digits,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,unsafe_existing_en
calculation_off_by_one,math,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
calculation_near_miss,math,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
carry_error,math,REAL_RUNTIME_classifier,,,A carrying step in addition was incorrect,,false,true,true,true,proposed_factual_seed
regroup_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,carry_error,false,true,true,true,missing_en_label
column_carry_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,carry_error,false,true,true,true,missing_en_label
borrow_error,math,supplemental_classifier_TEP,,,A borrowing step in subtraction was incorrect,,false,true,true,true,proposed_factual_seed
multiplication_fact_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
numerator_only_compare,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
mirror_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,common_denominator_error,false,true,true,true,missing_en_label
common_denominator_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
fraction_operation_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,common_denominator_error,false,true,true,true,missing_en_label
forgot_divide_by_2,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
perimeter_area_confusion,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
perimeter_formula_error,geometry,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
volume_formula_error,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
area_formula_error,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
triangle_angle_sum_error,geometry,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
pythagorean_relation_error,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
shape_property_confusion,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
