key,subject,englishFactualLabel,canonicalKey,aliasOf,safeFactualWording,canAppearWithCount,canAppearBesideMastery,status
omitted_addend,math,addition of only two addends out of three,omitted_addend,,true,true,true,approved
add_instead_of_sub,math,addition instead of subtraction,add_instead_of_sub,,true,true,true,approved
mul_instead_of_add,math,multiplication instead of addition,mul_instead_of_add,,true,true,true,approved
sub_instead_of_add,math,subtraction instead of addition,sub_instead_of_add,,true,true,true,approved
add_instead_of_mul,math,addition instead of multiplication,add_instead_of_mul,,true,true,true,approved
mul_instead_of_div,math,multiplication instead of division,mul_instead_of_div,,true,true,true,approved
math_decimal_place_shift_error,math,a decimal point placed in the wrong position,math_decimal_place_shift_error,,true,true,true,approved
math_percentage_base_error,math,"an incorrect use of percent, whole, or part",math_percentage_base_error,,true,true,true,approved
math_equation_inverse_error,math,an inverse operation used incorrectly in an equation,math_equation_inverse_error,,true,true,true,approved
rounding_wrong_direction,math,rounding in the wrong direction,rounding_wrong_direction,,true,true,true,approved
wrong_operation_wp,math,an incorrect arithmetic operation in a word problem,wrong_operation_wp,,true,true,true,approved
unit_error,math,an incorrect unit of measure,unit_error,,true,true,true,approved
place_value_error,math,a place value that did not match the correct answer,place_value_error,,true,true,true,approved
calculation_off_by_one,math,an answer that differed by 1,calculation_off_by_one,,true,true,true,approved
calculation_near_miss,math,a calculation that differed slightly from the correct answer,calculation_near_miss,,true,true,true,approved
carry_error,math,an incorrect carrying step in addition,carry_error,,true,true,true,approved
regroup_error,math,an incorrect carrying step in addition,regroup_error,,true,true,true,approved
column_carry_error,math,an incorrect carrying step in addition,column_carry_error,,true,true,true,approved
borrow_error,math,an incorrect regrouping step in subtraction,borrow_error,,true,true,true,approved
multiplication_fact_error,math,an incorrect multiplication-table fact,multiplication_fact_error,,true,true,true,approved
numerator_only_compare,math,a fraction comparison based only on the numerator,numerator_only_compare,,true,true,true,approved
mirror_error,math,an incorrect common-denominator step,mirror_error,,true,true,true,approved
common_denominator_error,math,an incorrect common-denominator step,common_denominator_error,,true,true,true,approved
fraction_operation_error,math,an incorrect common-denominator step,fraction_operation_error,,true,true,true,approved
forgot_divide_by_2,geometry,a missing divide-by-2 step,forgot_divide_by_2,,true,true,true,approved
perimeter_area_confusion,geometry,perimeter used instead of area,perimeter_area_confusion,,true,true,true,approved
perimeter_formula_error,geometry,an incorrect perimeter formula,perimeter_formula_error,,true,true,true,approved
volume_formula_error,geometry,an incorrect volume formula,volume_formula_error,,true,true,true,approved
area_formula_error,geometry,an incorrect area formula,area_formula_error,,true,true,true,approved
triangle_angle_sum_error,geometry,triangle angle measures that did not add up correctly,triangle_angle_sum_error,,true,true,true,approved
pythagorean_relation_error,geometry,side lengths added instead of using the Pythagorean relation,pythagorean_relation_error,,true,true,true,approved
shape_property_confusion,geometry,a shape property that did not match,shape_property_confusion,,true,true,true,approved
angle_range_error,geometry,an angle reading that did not match,angle_range_error,,true,true,true,approved
transformation_error,geometry,a geometric transformation that did not match,transformation_error,,true,true,true,approved
symmetry_error,geometry,a symmetry-axis choice that did not match,symmetry_error,,true,true,true,approved
spelling_pattern_error,english,a spelling pattern that did not match the word,spelling_pattern_error,,true,true,true,approved
spelling_error,english,a spelling that did not match the target word,spelling_error,,true,true,true,approved
grammar_error,english,a grammar form that did not fit the sentence,grammar_error,,true,true,true,approved
tense_error,english,a verb tense that did not fit the sentence,tense_error,,true,true,true,approved
agreement_error,english,a subject-verb or number agreement mismatch,agreement_error,,true,true,true,approved
vocabulary_meaning_error,english,a word used with a meaning that did not fit,vocabulary_meaning_error,,true,true,true,approved
translation_error,english,a translation that did not fit the context,translation_error,,true,true,true,approved
preposition_error,english,a preposition that did not fit the sentence,preposition_error,,true,true,true,approved
phrasal_verb_error,english,a phrasal verb that did not fit the context,phrasal_verb_error,,true,true,true,approved
sentence_structure_error,english,word order that did not fit the sentence,sentence_structure_error,,true,true,true,approved
phonics_minimal_pair_error,english,a choice between similar sounds that did not match,phonics_minimal_pair_error,,true,true,true,approved
vocabulary_context_error,english,a word that did not fit the context,vocabulary_context_error,,true,true,true,approved
grammar_agreement_error,english,a subject-verb or number agreement mismatch,grammar_agreement_error,,true,true,true,approved
reading_comprehension_error,english,an answer that did not address the comprehension question,reading_comprehension_error,,true,true,true,approved
homophone_confusion,english,a word that sounds similar but did not fit,homophone_confusion,,true,true,true,approved
homograph_error,english,a word that sounds similar but did not fit,homograph_error,,true,true,true,approved
verb_tense_error,english,a verb tense that did not fit the sentence,verb_tense_error,,true,true,true,approved
punctuation_error,english,punctuation that did not match the sentence,punctuation_error,,true,true,true,approved
speaking_expression_error,english,spoken wording that did not match the prompt,speaking_expression_error,,true,true,true,approved
concept_confusion,science,a science concept that did not match the question,concept_confusion,,true,true,true,approved
variable_control_error,science,more than one variable was changed in the experiment,variable_control_error,,true,true,true,approved
body_system_confusion,science,body-system order or placement that did not match,body_system_confusion,,true,true,true,approved
material_property_error,science,a material property description that did not match,material_property_error,,true,true,true,approved
