sourceSha,message,totalSourceFiles,alreadyEquivalentFiles,directPortFiles,localeAdaptationFiles,subjectFilteredFiles,globalReimplementationFiles,israeliOnlySkippedFiles,riskyDependencyFiles,canApplyAsUnit,needsSplitIntoNewGlobalCommits,coverageNote
30ebd6ebe5dd03ce45824a858743164a525f0467,feat(learning): complete decision engine production integration,117,0,68,11,16,0,13,9,false,true,partial_selective_port
d656f72ca13dcf2c6488f8ffcffe42845f3186d1,fix(learning): keep RI0 maintenance neutral in parent reports,6,0,5,1,0,0,0,0,false,true,partial_selective_port
c0bc9878f19295716bfc6017823c47588c08a742,fix(learning): centralize ADC V2 legacy compatibility,13,0,10,3,0,0,0,0,false,true,partial_selective_port
03f6acdb6a986dbee70b0e31b85630ea72a17953,fix(learning): complete decision engine remediation and runtime integration,42,0,25,2,6,0,4,5,false,true,partial_selective_port
b272d58285bb2cd0653f0118a3e882f497f92f8c,feat(learning): complete cross-subject diagnostic evidence engine,63,0,30,8,12,0,9,4,false,true,partial_selective_port
313ad8359eb7b7c5124c43b91ca6ca97d03b0ab9,fix(learning): restore omitted parent-report runtime dependencies,7,0,3,4,0,0,0,0,false,true,partial_selective_port
d26669ae379b201fdcc7eca0f44deef2e29d60df,fix(learning): keep no_clear_pattern parent silence,1,0,1,0,0,0,0,0,false,true,partial_selective_port
d0b64032d6b747edd18f2a27fe9901b46da99cb7,fix(learning): avoid forbidden engineDecision source literals in parent report,1,0,0,1,0,0,0,0,false,true,partial_selective_port
6bafc6225bf50fc47363db51e1476e4416515814,fix(learning): restore approved מה רואים parent explain prefix,1,0,0,1,0,0,0,0,false,true,partial_selective_port
01f3235cec58fcc700cce36f81e24714a5258b8e,test(learning): restore diagnostic runtime regression coverage,14,0,6,0,3,0,3,2,false,true,partial_selective_port
503ca523c1324f91480dcced8a215a4fa629240c,test(learning): pin H-02 real-runtime fixture to stable bank row,1,0,1,0,0,0,0,0,false,true,partial_selective_port
21cf310f65232f381dfc575538428e88d810b5e2,fix(parent-report): improve approved Hebrew parent-facing copy,28,0,3,16,5,0,4,0,false,true,partial_selective_port
7268471219776f85e175c7fcd848c2b7588d8c7d,fix(demo): align parent reports with production decision pipeline,9,0,1,8,0,0,0,0,false,true,partial_selective_port
45d5d80463589f1d19c67f8f30747d96972e2efa,fix(parent-report): use Israel date bounds and improve observed-pattern copy,6,0,1,2,0,1,2,0,false,true,partial_selective_port
3b9a89a6dad7fcf6764237df39898a68e7113c56,fix(parent-report): finalize factual observations and topic status rules,48,0,10,18,0,0,17,3,false,true,partial_selective_port
