key,subject,inApprovedSet,englishLabel,producerProof,reportVisibility,demoCoverage
omitted_addend,math,true,addition of only two addends out of three,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
add_instead_of_sub,math,true,addition instead of subtraction,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
mul_instead_of_add,math,true,multiplication instead of addition,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
sub_instead_of_add,math,true,subtraction instead of addition,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
add_instead_of_mul,math,true,addition instead of multiplication,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
mul_instead_of_div,math,true,multiplication instead of division,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_decimal_place_shift_error,math,true,a decimal point placed in the wrong position,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_percentage_base_error,math,true,"an incorrect use of percent, whole, or part",ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_equation_inverse_error,math,true,an inverse operation used incorrectly in an equation,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
rounding_wrong_direction,math,true,rounding in the wrong direction,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
wrong_operation_wp,math,true,an incorrect arithmetic operation in a word problem,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
unit_error,math,true,an incorrect unit of measure,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
place_value_error,math,true,a place value that did not match the correct answer,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
calculation_off_by_one,math,true,an answer that differed by 1,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
calculation_near_miss,math,true,a calculation that differed slightly from the correct answer,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
carry_error,math,true,an incorrect carrying step in addition,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
regroup_error,math,true,an incorrect carrying step in addition,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
column_carry_error,math,true,an incorrect carrying step in addition,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
borrow_error,math,true,an incorrect regrouping step in subtraction,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
multiplication_fact_error,math,true,an incorrect multiplication-table fact,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
numerator_only_compare,math,true,a fraction comparison based only on the numerator,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
mirror_error,math,true,an incorrect common-denominator step,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
common_denominator_error,math,true,an incorrect common-denominator step,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
fraction_operation_error,math,true,an incorrect common-denominator step,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
forgot_divide_by_2,geometry,true,a missing divide-by-2 step,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
perimeter_area_confusion,geometry,true,perimeter used instead of area,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
perimeter_formula_error,geometry,true,an incorrect perimeter formula,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
volume_formula_error,geometry,true,an incorrect volume formula,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
area_formula_error,geometry,true,an incorrect area formula,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
triangle_angle_sum_error,geometry,true,triangle angle measures that did not add up correctly,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
pythagorean_relation_error,geometry,true,side lengths added instead of using the Pythagorean relation,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
shape_property_confusion,geometry,true,a shape property that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
angle_range_error,geometry,true,an angle reading that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
transformation_error,geometry,true,a geometric transformation that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
symmetry_error,geometry,true,a symmetry-axis choice that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
spelling_pattern_error,english,true,a spelling pattern that did not match the word,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
spelling_error,english,true,a spelling that did not match the target word,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
grammar_error,english,true,a grammar form that did not fit the sentence,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
tense_error,english,true,a verb tense that did not fit the sentence,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
agreement_error,english,true,a subject-verb or number agreement mismatch,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
vocabulary_meaning_error,english,true,a word used with a meaning that did not fit,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
translation_error,english,true,a translation that did not fit the context,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
preposition_error,english,true,a preposition that did not fit the sentence,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
phrasal_verb_error,english,true,a phrasal verb that did not fit the context,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
sentence_structure_error,english,true,word order that did not fit the sentence,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
phonics_minimal_pair_error,english,true,a choice between similar sounds that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
vocabulary_context_error,english,true,a word that did not fit the context,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
grammar_agreement_error,english,true,a subject-verb or number agreement mismatch,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
reading_comprehension_error,english,true,an answer that did not address the comprehension question,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
homophone_confusion,english,true,a word that sounds similar but did not fit,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
homograph_error,english,true,a word that sounds similar but did not fit,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
verb_tense_error,english,true,a verb tense that did not fit the sentence,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
punctuation_error,english,true,punctuation that did not match the sentence,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
speaking_expression_error,english,true,spoken wording that did not match the prompt,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
concept_confusion,science,true,a science concept that did not match the question,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
variable_control_error,science,true,more than one variable was changed in the experiment,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
body_system_confusion,science,true,body-system order or placement that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
material_property_error,science,true,a material property description that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
physical_chemical_confusion,science,true,"a physical concept used where a chemical one was needed, or the reverse",ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
planet_confusion,science,true,a planet or celestial body that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
ecosystem_confusion,science,true,an ecosystem level that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
animal_classification_error,science,true,an animal classification that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
comparison_error,math,true,a comparison that did not match the required relation,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_compare_relation_error,math,true,a comparison symbol that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_scale_operation_error,math,true,a scale operation that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_division_operation_error,math,true,a division operation that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_remainder_error,math,true,a quotient or remainder that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_sequence_step_error,math,true,a step in a number sequence that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_ratio_order_error,math,true,ratio order that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_operation_order_error,math,true,operations computed left-to-right instead of by order of operations,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_divisibility_classification_error,math,true,a divisibility conclusion that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_prime_composite_classification_error,math,true,a prime/composite classification that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_power_as_multiplication_error,math,true,the base multiplied by the exponent instead of a power calculation,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_identity_property_error,math,true,an identity (zero or one) property used incorrectly,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_estimation_strategy_error,math,true,an estimate used where an exact result was required,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
math_gcd_smaller_input_error,math,true,a greatest-common-divisor choice that did not match,ported_active_subject_classifier_or_fuzzy,true,via_rebuild_pipeline
